time,market,code,type,amount,price,opt
2023-06-15 14:47:11.620965,SA, 159928,B,*,0.968,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-06-15 14:47:31.478851,HA, 512690,B,*,0.82,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-06-15 14:47:52.636617,HA, 515170,B,*,0.722,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
