time,market,code,type,amount,price,opt
2023-09-27 14:47:14.413858,SA, 159647,B,*,1.107,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-09-27 14:47:17.467285,HA, 512170,B,*,0.42,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
