time,market,code,type,amount,price,opt
2023-11-06 14:49:11.592124,SA, 159985,B,*,2.356,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:14.397010,SA, 159939,B,*,0.553,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:15.198198,SA, 159949,B,*,0.853,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:18.147545,HA, 512100,B,*,2.448,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:21.109588,HA, 512980,B,*,0.771,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:23.089041,HA, 513520,B,*,1.205,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-06 14:49:25.050799,HA, 515000,B,*,1.223,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
