time,market,code,type,amount,price,opt
2023-11-13 14:50:01.164657,HA, 513080,B,*,1.439,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-13 14:50:05.492216,HA, 512660,B,*,1.005,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-13 14:50:07.774046,HA, 512670,B,*,0.735,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
