time,market,code,type,amount,price,opt
2023-11-03 14:48:42.263898,SA, 159869,B,*,1.038,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-03 14:48:46.180789,HA, 515250,B,*,0.889,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
