time,market,code,type,amount,price,opt
2023-11-08 14:48:40.517104,SA, 159647,B,*,1.07,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-08 14:48:41.844508,HA, 513500,B,*,1.498,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-08 14:48:44.809921,HA, 515230,B,*,0.807,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
