time,market,code,type,amount,price,opt
2023-08-25 14:47:16.922370,SA, 159819,B,*,0.758,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-08-25 14:47:19.638040,SA, 159998,B,*,0.833,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
