time,market,code,type,amount,price,opt
2023-10-20 14:46:11.528380,SA, 159939,S,*,0.514,来源: ETM; 卖出该计划导致持有的所有份数
2023-10-20 14:46:13.737886,HA, 515000,S,*,1.143,来源: ETM; 卖出该计划导致持有的所有份数
