time,market,code,type,amount,price,opt
2023-08-15 14:46:57.073978,SA, 159915,S,*,2.09,来源: ETM; 卖出该计划导致持有的所有份数
2023-08-15 14:46:59.727939,SA, 159928,S,*,0.939,来源: ETM; 卖出该计划导致持有的所有份数
2023-08-15 14:47:14.894244,HA, 515170,S,*,0.693,来源: ETM; 卖出该计划导致持有的所有份数
