time,market,code,type,amount,price,opt
2023-07-03 14:47:10.266257,SA, 159998,S,*,0.996,来源: ETM; 卖出该计划导致持有的所有份数
2023-07-03 14:47:45.670374,SA, 159819,S,*,0.908,来源: ETM; 卖出该计划导致持有的所有份数
2023-07-03 14:47:43.635476,HA, 512980,S,*,0.86,来源: ETM; 卖出该计划导致持有的所有份数
