time,market,code,type,amount,price,opt
2023-06-19 14:47:18.211371,SA, 159915,B,*,2.209,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-06-19 14:48:28.367593,HA, 515030,B,*,1.541,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-06-19 14:48:43.095184,HA, 515790,B,*,1.211,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
