time,market,code,type,amount,price,opt
2023-11-14 14:48:39.041557,HA, 510580,B,*,0.685,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
2023-11-14 14:48:43.361769,HA, 515790,B,*,0.945,来源: ETM-X; 注意仓位控制 买入金额不该超过总金额的 1/10
